
RTEMS Shell on /dev/console. Use 'help' to list commands.
SHLL [/] # nexus0: <RTEMS Nexus device>
info: lo0: link state changed to UP
=== Exp3inter-ST: Task Chain (n=15) SingleThreadedExecutor ===
Period: 200ms, Rounds: 500
[E3IST-CSV] 15,100,31429710,5850160,0,0,1090240,0,25472810,324342137306
[E3IST-CSV] 15,101,36077070,7020410,0,0,1087330,0,28951180,327234759056
[E3IST-CSV] 15,102,38017490,7778870,0,0,1184360,0,30107310,330048028946
[E3IST-CSV] 15,103,32590980,6030030,0,0,1034530,0,26489130,332731018916
[E3IST-CSV] 15,104,44649260,8120270,0,0,1359880,0,36391990,335764535006
[E3IST-CSV] 15,105,33215060,6315100,0,0,1092470,0,26817840,338395775226
[E3IST-CSV] 15,106,49677500,8690700,0,0,1176700,0,40709120,341413124836
[E3IST-CSV] 15,107,43662140,8998490,0,0,1232730,0,34423910,344141262506
[E3IST-CSV] 15,108,38399210,8194900,0,0,1174330,0,30055000,346877443076
[E3IST-CSV] 15,109,36964470,7621870,0,0,1038050,0,29198910,349666350126
[E3IST-CSV] 15,110,45133550,8882470,0,0,1117380,0,36112260,352587648616
[E3IST-CSV] 15,111,37079910,7572320,0,0,1218830,0,29382270,355272973086
[E3IST-CSV] 15,112,36292090,7662420,0,0,1108210,0,28465750,358061077996
[E3IST-CSV] 15,113,31078790,5813920,0,0,994420,0,25202310,360797151556
[E3IST-CSV] 15,114,35755650,7283010,0,0,1097850,0,28352680,363661752036
[E3IST-CSV] 15,115,36586450,7591730,0,0,1052760,0,28865650,366466324726
[E3IST-CSV] 15,116,43274940,8898510,0,0,1224460,0,34262560,369353527536
[E3IST-CSV] 15,117,38403920,7811520,0,0,1127720,0,30260460,372087993946
[E3IST-CSV] 15,118,44715680,9194330,0,0,1369880,0,35334380,374978143796
[E3IST-CSV] 15,119,34924660,6679170,0,0,1171410,0,28147390,377710079006
[E3IST-CSV] 15,120,51480530,9550280,0,0,1419330,0,41796680,380664242166
[E3IST-CSV] 15,121,35845670,7302030,0,0,1143920,0,28429680,383260938756
[E3IST-CSV] 15,122,36028970,7460390,0,0,1121010,0,28442670,386065488976
[E3IST-CSV] 15,123,36513990,7505450,0,0,1112370,0,28893020,388869616796
[E3IST-CSV] 15,124,37257200,7900120,0,0,1156170,0,29183350,391679988556
[E3IST-CSV] 15,125,43961390,8825580,0,0,1312280,0,34999640,394574785406
[E3IST-CSV] 15,126,44746900,8714610,0,0,1232050,0,35882680,397385766796
[E3IST-CSV] 15,127,46861410,8504210,0,0,1200140,0,38222370,400204089896
[E3IST-CSV] 15,128,30559460,5646440,0,0,1091310,0,24854020,402718225536
[E3IST-CSV] 15,129,49932660,9525540,0,0,1246400,0,40127570,405843653856
[E3IST-CSV] 15,130,36694830,7462240,0,0,1048870,0,29113880,408464602336
[E3IST-CSV] 15,131,37330500,7721390,0,0,1057250,0,29489930,411280924256
[E3IST-CSV] 15,132,30215370,5631840,0,0,998190,0,24525580,413914923786
[E3IST-CSV] 15,133,31078570,5674780,0,0,1046750,0,25341450,416758848536
[E3IST-CSV] 15,134,36677430,7476770,0,0,1151430,0,29077480,419672979686
[E3IST-CSV] 15,135,36774810,7708570,0,0,1096880,0,28938010,422470202936
[E3IST-CSV] 15,136,40406150,8367840,0,0,1225320,0,31891270,425326912406
[E3IST-CSV] 15,137,32582390,6292190,0,0,1118490,0,26222170,427928416066
[E3IST-CSV] 15,138,37312970,7934140,0,0,1051850,0,29250630,430864281786
[E3IST-CSV] 15,139,37156250,7348600,0,0,1178370,0,29705470,433563916886
[E3IST-CSV] 15,140,37052270,7643820,0,0,1047070,0,29278230,436464283536
[E3IST-CSV] 15,141,38924190,8227100,0,0,1064440,0,30551710,439315900486
[E3IST-CSV] 15,142,36343940,7605940,0,0,1042450,0,28602590,442069071766
[E3IST-CSV] 15,143,43411180,8945680,0,0,1179210,0,34316320,445056491476
[E3IST-CSV] 15,144,36327580,7707550,0,0,1053500,0,28488390,447667022126
[E3IST-CSV] 15,145,36918500,7484630,0,0,1153140,0,29306040,450473586176
[E3IST-CSV] 15,146,36375620,7408160,0,0,1091630,0,28827350,453263104586
[E3IST-CSV] 15,147,36078610,7399640,0,0,1249060,0,28559160,456061723036
[E3IST-CSV] 15,148,39201610,8438370,0,0,1066530,0,30614250,458910595206
[E3IST-CSV] 15,149,35577270,7570450,0,0,1088210,0,27877880,461653570896
[E3IST-CSV] 15,150,36496670,7516640,0,0,1051460,0,28691650,464477503376
[E3IST-CSV] 15,151,36793550,7753120,0,0,1058050,0,28900680,467264831376
[E3IST-CSV] 15,152,46320290,7621310,0,0,1167670,0,38573160,470188741576
[E3IST-CSV] 15,153,33118470,6020660,0,0,1058310,0,27027590,472680018816
[E3IST-CSV] 15,154,34612950,6282670,0,0,1230180,0,28181870,475517702746
[E3IST-CSV] 15,155,30877930,5665090,0,0,1111170,0,25145890,478238417726
[E3IST-CSV] 15,156,37327320,6539810,0,0,1270690,0,30710850,481120873736
[E3IST-CSV] 15,157,33997300,6524320,0,0,1098540,0,27392190,483909587746
[E3IST-CSV] 15,158,32425060,6282600,0,0,1005820,0,26061370,486687278146
[E3IST-CSV] 15,159,31479240,5752350,0,0,1095990,0,25658190,489462242426
[E3IST-CSV] 15,160,30968420,5722690,0,0,1112960,0,25179450,492237424296
[E3IST-CSV] 15,161,36286520,6481710,0,0,1074970,0,29721480,495140019316
[E3IST-CSV] 15,162,33878750,6422140,0,0,1041190,0,27376910,497923949816
[E3IST-CSV] 15,163,31194040,5833250,0,0,1103930,0,25290820,500638334246
[E3IST-CSV] 15,164,31040330,5754260,0,0,1024660,0,25220470,503438646446
[E3IST-CSV] 15,165,30751120,5621910,0,0,1157550,0,25065590,506236840076
[E3IST-CSV] 15,166,30721890,5626280,0,0,1187630,0,25028280,509036808006
[E3IST-CSV] 15,167,30706140,5526410,0,0,1056190,0,25066220,511835083966
[E3IST-CSV] 15,168,31600420,6172010,0,0,1032440,0,25358880,514670903206
[E3IST-CSV] 15,169,31281870,5897360,0,0,1103910,0,25307950,517589325606
[E3IST-CSV] 15,170,33106160,6436460,0,0,1033890,0,26578170,520379966156
[E3IST-CSV] 15,171,33430830,6531000,0,0,1166960,0,26800890,523191384476
[E3IST-CSV] 15,172,33373790,6479570,0,0,1061040,0,26763320,525994897406
[E3IST-CSV] 15,173,31158750,5865340,0,0,1043220,0,25224150,528641194346
[E3IST-CSV] 15,174,31520840,5946390,0,0,1010860,0,25494570,531579774646
[E3IST-CSV] 15,175,33441080,6503760,0,0,1031070,0,26847000,534393189796
[E3IST-CSV] 15,176,30600100,5529730,0,0,1057620,0,25009610,537040321926
[E3IST-CSV] 15,177,32960400,6253520,0,0,1187890,0,26610830,539991625546
[E3IST-CSV] 15,178,31053170,5758730,0,0,1005340,0,25189520,542639803276
[E3IST-CSV] 15,179,33380970,6558620,0,0,1024820,0,26727990,545582860396
[E3IST-CSV] 15,180,33492860,6670020,0,0,1062320,0,26727540,548396546006
[E3IST-CSV] 15,181,33100610,6523510,0,0,1015930,0,26484120,551198458216
[E3IST-CSV] 15,182,33442800,6455760,0,0,1152040,0,26895690,553990674336
[E3IST-CSV] 15,183,32778520,6194660,0,0,1043290,0,26503410,556692528396
[E3IST-CSV] 15,184,30885190,5814820,0,0,1004750,0,25007140,559555055906
[E3IST-CSV] 15,185,30702790,5790850,0,0,1039340,0,24852080,562272661606
[E3IST-CSV] 15,186,33667240,6500800,0,0,1114640,0,27074690,565200448726
[E3IST-CSV] 15,187,30746950,5539040,0,0,1037880,0,25148820,567916384396
[E3IST-CSV] 15,188,31425440,5969910,0,0,1012000,0,25385590,570659104996
[E3IST-CSV] 15,189,33936730,6810480,0,0,1168410,0,27020900,573628192666
[E3IST-CSV] 15,190,32735790,6188570,0,0,1068320,0,26461400,576447998676
[E3IST-CSV] 15,191,30651390,5771860,0,0,1011730,0,24819320,579113367296
[E3IST-CSV] 15,192,33188800,6280770,0,0,1130360,0,26713050,581990239166
[E3IST-CSV] 15,193,31740160,6393900,0,0,1005670,0,25269780,584685121576
[E3IST-CSV] 15,194,30733240,5691900,0,0,1012300,0,24978650,587543031496
[E3IST-CSV] 15,195,33773950,6554460,0,0,1055190,0,27118740,590420035506
[E3IST-CSV] 15,196,33779900,6495130,0,0,1076710,0,27188380,593205095006
[E3IST-CSV] 15,197,32196170,6140460,0,0,1114130,0,25973120,595966208786
[E3IST-CSV] 15,198,30759400,5651050,0,0,1017530,0,25038500,598652934736
[E3IST-CSV] 15,199,32293270,6238630,0,0,1055900,0,25923770,601573110846
[E3IST-CSV] 15,200,35257730,7062280,0,0,1035760,0,28073000,604456594846
[E3IST-CSV] 15,201,33441980,6342400,0,0,1199980,0,27006520,607202538586
[E3IST-CSV] 15,202,32692220,6060570,0,0,1011620,0,26547520,610019550996
[E3IST-CSV] 15,203,41202150,7300100,0,0,1233200,0,33811840,612808995036
[E3IST-CSV] 15,204,32031400,6203450,0,0,1005710,0,25742510,615649012676
[E3IST-CSV] 15,205,32547300,6178930,0,0,1207420,0,26280380,618389276586
[E3IST-CSV] 15,206,31968350,5795040,0,0,1108950,0,26097330,621149695236
[E3IST-CSV] 15,207,33080260,6326900,0,0,1109600,0,26666290,623990534746
[E3IST-CSV] 15,208,32521930,6324110,0,0,1021310,0,26120890,626698331326
[E3IST-CSV] 15,209,32272130,6154860,0,0,1059030,0,26035870,629579882336
[E3IST-CSV] 15,210,31171120,5638650,0,0,1193330,0,25470080,632301957166
[E3IST-CSV] 15,211,34033160,6551580,0,0,1116420,0,27384090,635215086026
[E3IST-CSV] 15,212,36154970,7343300,0,0,1085530,0,28690500,638077376186
[E3IST-CSV] 15,213,31773940,5831030,0,0,1135020,0,25878340,640655842376
[E3IST-CSV] 15,214,33070290,6485290,0,0,1116140,0,26494050,643597437006
[E3IST-CSV] 15,215,34554610,6763960,0,0,1124020,0,27697640,646412691756
[E3IST-CSV] 15,216,34257880,6869140,0,0,1228410,0,27287760,649203780556
[E3IST-CSV] 15,217,31129340,5931370,0,0,1012910,0,25122110,651950025716
[E3IST-CSV] 15,218,32531170,6124860,0,0,1161250,0,26323770,654733108516
[E3IST-CSV] 15,219,33462810,6551090,0,0,1368000,0,26818760,657602550616
[E3IST-CSV] 15,220,34268740,6885200,0,0,1154560,0,27287080,660418261996
[E3IST-CSV] 15,221,30934350,5692700,0,0,1027600,0,25178430,663123885076
[E3IST-CSV] 15,222,32950160,6313920,0,0,1075660,0,26548490,665993057516
[E3IST-CSV] 15,223,31837270,5936660,0,0,1068830,0,25833550,668677719216
[E3IST-CSV] 15,224,33544740,6324020,0,0,1140720,0,27129090,671601449956
[E3IST-CSV] 15,225,33996460,6724810,0,0,1193290,0,27181710,674400918366
[E3IST-CSV] 15,226,33493670,6575150,0,0,1214460,0,26800220,677203762496
[E3IST-CSV] 15,227,34665930,6552750,0,0,1076840,0,28021850,680012268926
[E3IST-CSV] 15,228,32515650,6067660,0,0,1063620,0,26379120,682669644916
[E3IST-CSV] 15,229,33195050,6495370,0,0,1108980,0,26609290,685610433756
[E3IST-CSV] 15,230,33318880,6657460,0,0,1032720,0,26574590,688397160876
[E3IST-CSV] 15,231,30796550,5560320,0,0,1059810,0,25174200,691134836956
[E3IST-CSV] 15,232,32113500,6001080,0,0,1065770,0,26025570,693951728516
[E3IST-CSV] 15,233,31843070,6044270,0,0,1011620,0,25730020,696693428696
[E3IST-CSV] 15,234,32368480,6133470,0,0,1074900,0,26155080,699542860846
[E3IST-CSV] 15,235,32814150,6120170,0,0,1205990,0,26605150,702372276006
[E3IST-CSV] 15,236,31171100,5686970,0,0,995380,0,25195370,705200325936
[E3IST-CSV] 15,237,32812810,6194630,0,0,1065080,0,26533230,707985345666
[E3IST-CSV] 15,238,31250710,5885070,0,0,1051540,0,25298270,710655761816
[E3IST-CSV] 15,239,34547620,6499830,0,0,1113310,0,27949490,713625230186
[E3IST-CSV] 15,240,33181860,6373720,0,0,1211540,0,26637610,716386026666
[E3IST-CSV] 15,241,33181370,6311330,0,0,1134090,0,26779210,719186128986
[E3IST-CSV] 15,242,32037730,6185330,0,0,1001120,0,25771060,722049811366
[E3IST-CSV] 15,243,35850750,6409680,0,0,1041770,0,29355760,724749107346
[E3IST-CSV] 15,244,32041370,5971600,0,0,1008600,0,25992750,727569943636
[E3IST-CSV] 15,245,32848410,6263460,0,0,1145070,0,26492750,730390456196
[E3IST-CSV] 15,246,33148710,6415860,0,0,1075440,0,26629300,733193421926
[E3IST-CSV] 15,247,32883760,6210380,0,0,1108360,0,26588700,735987419496
[E3IST-CSV] 15,248,31944860,5883420,0,0,1155880,0,25987850,738686995136
[E3IST-CSV] 15,249,32045770,6036510,0,0,1106770,0,25926670,741546595676
[E3IST-CSV] 15,250,32985820,6449410,0,0,1060400,0,26448270,744379539646
[E3IST-CSV] 15,251,32629310,6189970,0,0,1077830,0,26306940,747169303966
[E3IST-CSV] 15,252,32804530,6494440,0,0,1154500,0,26178650,749981995516
[E3IST-CSV] 15,253,31392360,5837260,0,0,1073270,0,25485830,752661070206
[E3IST-CSV] 15,254,33065590,6310330,0,0,1038650,0,26664530,755590822486
[E3IST-CSV] 15,255,33504200,6496960,0,0,1282330,0,26914150,758362544836
[E3IST-CSV] 15,256,33082080,6359060,0,0,1183300,0,26631200,761187602386
[E3IST-CSV] 15,257,32821880,6241660,0,0,1073240,0,26489840,763973042436
[E3IST-CSV] 15,258,33824250,6851490,0,0,1317900,0,26894670,766675885206
